loading previous zp-ontology...
Jul 05, 2017 5:37:07 PM de.charite.zpgen.ZPIDDB <init>
wrong format for entry ZDB-FISH-150901-23930 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23930 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23930 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23930 expected normal/abnormal, found 'exacerbated'
wrong format for entry ZDB-FISH-150901-23930 expected normal/abnormal, found 'exacerbated'
wrong format for entry ZDB-FISH-150901-23930 expected normal/abnormal, found 'exacerbated'
wrong format for entry ZDB-FISH-150901-23930 expected normal/abnormal, found 'exacerbated'
wrong format for entry ZDB-FISH-150901-23930 expected normal/abnormal, found 'exacerbated'
wrong format for entry ZDB-FISH-150901-23997 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23997 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-24249 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-24754 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-25078 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-25078 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-25078 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-25078 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-25078 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-25078 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-25492 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-25492 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-25500 expected normal/abnormal, found 'exacerbated'
wrong format for entry ZDB-FISH-150901-25651 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-25651 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-25651 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-25756 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-25756 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-25756 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-25756 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-25885 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-25885 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-25885 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-25885 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-26011 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-26361 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-26361 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27758 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27758 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27758 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-27842 expected normal/abnormal, found 'ameliorated'
